Customer Name,Code,Credit Limit
Amir Trading 1,C-1001,10000
Sara Electronics 1,C-1002,5000
Omar Steel 1,C-1003,25000
Nour Retail 1,C-1004,0
Youssef Mills 1,C-1005,0
Mona Trading 1,C-1006,50000
Khaled Electronics 1,C-1007,0
Hana Steel 1,C-1008,10000
Tarek Retail 1,C-1009,50000
Laila Mills 1,C-1010,0
Amir Trading 1,C-9001,12000
Hassan Trading 1,C-1011,50000
Dina Electronics 1,C-1012,5000
Sami Steel 1,C-1013,0
Rana Retail 1,C-1014,0
Adel Mills 1,C-1015,25000
Salma Trading 1,C-1016,25000
Karim Electronics 1,C-1017,0
Aya Steel 1,C-1018,5000
Fady Retail 1,C-1019,0
,C-9002,8000
Nada Mills 1,C-1020,50000
Wael Trading 1,C-1021,25000
Heba Electronics 1,C-1022,0
Ziad Steel 1,C-1023,50000
Maha Retail 1,C-1024,0
Bassem Mills 1,C-1025,5000
Yara Trading 1,C-1026,50000
Ehab Electronics 1,C-1027,0
Reem Steel 1,C-1028,50000
Ghost Bad Amount Co,C-9003,N/A
Sherif Retail 1,C-1029,50000
Ola Mills 1,C-1030,25000
Amir Trading 2,C-1031,0
Sara Electronics 2,C-1032,5000
Omar Steel 2,C-1033,0
Nour Retail 2,C-1034,50000
Youssef Mills 2,C-1035,5000
Mona Trading 2,C-1036,10000
Khaled Electronics 2,C-1037,25000
Hana Steel 2,C-1038,5000
Tarek Retail 2,C-1039,50000
Laila Mills 2,C-1040,0
Hassan Trading 2,C-1041,50000
Dina Electronics 2,C-1042,10000
Sami Steel 2,C-1043,50000
Rana Retail 2,C-1044,5000
Adel Mills 2,C-1045,0
Salma Trading 2,C-1046,50000
Karim Electronics 2,C-1047,50000
Aya Steel 2,C-1048,5000
Fady Retail 2,C-1049,10000
Nada Mills 2,C-1050,0
